"Fractionation_Loss","Replicate","Seed","Status","Final_LGs","Retained_OGs","Error_Detail"
0.1,1,910778,"SUCCESS",16,4740,NA
0.1,10,910787,"SUCCESS",15,4758,NA
0.1,100,910877,"SUCCESS",15,4739,NA
0.1,11,910788,"SUCCESS",16,4728,NA
0.1,12,910789,"SUCCESS",15,4751,NA
0.1,13,910790,"SUCCESS",15,4753,NA
0.1,14,910791,"SUCCESS",15,4751,NA
0.1,15,910792,"SUCCESS",15,4694,NA
0.1,16,910793,"SUCCESS",15,4717,NA
0.1,17,910794,"SUCCESS",15,4781,NA
0.1,18,910795,"SUCCESS",15,4759,NA
0.1,19,910796,"SUCCESS",15,4732,NA
0.1,2,910779,"SUCCESS",16,4699,NA
0.1,20,910797,"SUCCESS",15,4760,NA
0.1,21,910798,"SUCCESS",16,4732,NA
0.1,22,910799,"SUCCESS",15,4751,NA
0.1,23,910800,"SUCCESS",15,4762,NA
0.1,24,910801,"SUCCESS",15,4728,NA
0.1,25,910802,"SUCCESS",15,4743,NA
0.1,26,910803,"SUCCESS",15,4707,NA
0.1,27,910804,"SUCCESS",15,4746,NA
0.1,28,910805,"SUCCESS",15,4769,NA
0.1,29,910806,"SUCCESS",15,4771,NA
0.1,3,910780,"SUCCESS",15,4756,NA
0.1,30,910807,"SUCCESS",15,4733,NA
0.1,31,910808,"SUCCESS",15,4732,NA
0.1,32,910809,"SUCCESS",15,4693,NA
0.1,33,910810,"SUCCESS",15,4745,NA
0.1,34,910811,"SUCCESS",15,4757,NA
0.1,35,910812,"SUCCESS",15,4741,NA
0.1,36,910813,"SUCCESS",15,4741,NA
0.1,37,910814,"SUCCESS",15,4736,NA
0.1,38,910815,"SUCCESS",15,4743,NA
0.1,39,910816,"SUCCESS",15,4762,NA
0.1,4,910781,"SUCCESS",15,4760,NA
0.1,40,910817,"SUCCESS",15,4748,NA
0.1,41,910818,"SUCCESS",16,4750,NA
0.1,42,910819,"SUCCESS",15,4760,NA
0.1,43,910820,"SUCCESS",15,4739,NA
0.1,44,910821,"SUCCESS",15,4739,NA
0.1,45,910822,"SUCCESS",15,4762,NA
0.1,46,910823,"SUCCESS",15,4724,NA
0.1,47,910824,"SUCCESS",15,4745,NA
0.1,48,910825,"SUCCESS",15,4765,NA
0.1,49,910826,"SUCCESS",16,4750,NA
0.1,5,910782,"SUCCESS",15,4716,NA
0.1,50,910827,"SUCCESS",15,4780,NA
0.1,51,910828,"SUCCESS",15,4717,NA
0.1,52,910829,"SUCCESS",16,4740,NA
0.1,53,910830,"SUCCESS",15,4753,NA
0.1,54,910831,"SUCCESS",15,4753,NA
0.1,55,910832,"SUCCESS",15,4742,NA
0.1,56,910833,"SUCCESS",15,4749,NA
0.1,57,910834,"SUCCESS",16,4784,NA
0.1,58,910835,"SUCCESS",15,4739,NA
0.1,59,910836,"SUCCESS",15,4680,NA
0.1,6,910783,"SUCCESS",15,4746,NA
0.1,60,910837,"SUCCESS",15,4746,NA
0.1,61,910838,"SUCCESS",15,4725,NA
0.1,62,910839,"SUCCESS",15,4718,NA
0.1,63,910840,"SUCCESS",15,4725,NA
0.1,64,910841,"SUCCESS",15,4748,NA
0.1,65,910842,"SUCCESS",15,4732,NA
0.1,66,910843,"SUCCESS",15,4730,NA
0.1,67,910844,"SUCCESS",15,4748,NA
0.1,68,910845,"SUCCESS",16,4700,NA
0.1,69,910846,"SUCCESS",15,4720,NA
0.1,7,910784,"SUCCESS",16,4766,NA
0.1,70,910847,"SUCCESS",15,4751,NA
0.1,71,910848,"SUCCESS",15,4650,NA
0.1,72,910849,"SUCCESS",15,4723,NA
0.1,73,910850,"SUCCESS",15,4786,NA
0.1,74,910851,"SUCCESS",15,4769,NA
0.1,75,910852,"SUCCESS",15,4716,NA
0.1,76,910853,"SUCCESS",15,4746,NA
0.1,77,910854,"SUCCESS",15,4765,NA
0.1,78,910855,"SUCCESS",15,4753,NA
0.1,79,910856,"SUCCESS",15,4713,NA
0.1,8,910785,"SUCCESS",15,4802,NA
0.1,80,910857,"SUCCESS",15,4704,NA
0.1,81,910858,"SUCCESS",15,4707,NA
0.1,82,910859,"SUCCESS",15,4719,NA
0.1,83,910860,"SUCCESS",15,4706,NA
0.1,84,910861,"SUCCESS",15,4748,NA
0.1,85,910862,"SUCCESS",15,4707,NA
0.1,86,910863,"SUCCESS",15,4760,NA
0.1,87,910864,"SUCCESS",15,4707,NA
0.1,88,910865,"SUCCESS",15,4742,NA
0.1,89,910866,"SUCCESS",15,4734,NA
0.1,9,910786,"SUCCESS",15,4744,NA
0.1,90,910867,"SUCCESS",15,4690,NA
0.1,91,910868,"SUCCESS",15,4776,NA
0.1,92,910869,"SUCCESS",15,4712,NA
0.1,93,910870,"SUCCESS",15,4642,NA
0.1,94,910871,"SUCCESS",15,4739,NA
0.1,95,910872,"SUCCESS",15,4741,NA
0.1,96,910873,"SUCCESS",15,4741,NA
0.1,97,910874,"SUCCESS",15,4712,NA
0.1,98,910875,"SUCCESS",15,4763,NA
0.1,99,910876,"SUCCESS",15,4731,NA
0.2,1,920778,"SUCCESS",15,4688,NA
0.2,10,920787,"SUCCESS",15,4724,NA
0.2,100,920877,"SUCCESS",15,4706,NA
0.2,11,920788,"SUCCESS",15,4716,NA
0.2,12,920789,"SUCCESS",15,4699,NA
0.2,13,920790,"SUCCESS",15,4658,NA
0.2,14,920791,"SUCCESS",16,4702,NA
