"Translocations","Replicate","Seed","Status","Final_LGs","Retained_OGs","Error_Detail"
100,1,60778,"SUCCESS",15,4365,NA
100,10,60787,"SUCCESS",15,4297,NA
100,100,60877,"SUCCESS",15,4253,NA
100,11,60788,"SUCCESS",15,4496,NA
100,12,60789,"SUCCESS",15,4303,NA
100,13,60790,"SUCCESS",15,4401,NA
100,14,60791,"SUCCESS",15,4374,NA
100,15,60792,"SUCCESS",15,4456,NA
100,16,60793,"SUCCESS",15,4280,NA
100,17,60794,"SUCCESS",15,4306,NA
100,18,60795,"SUCCESS",15,4295,NA
100,19,60796,"SUCCESS",15,4446,NA
100,2,60779,"SUCCESS",15,4383,NA
100,20,60797,"SUCCESS",15,4293,NA
100,21,60798,"SUCCESS",15,4369,NA
100,22,60799,"SUCCESS",15,4405,NA
100,23,60800,"SUCCESS",15,4336,NA
100,24,60801,"SUCCESS",15,4437,NA
100,25,60802,"SUCCESS",15,4314,NA
100,26,60803,"SUCCESS",15,4307,NA
100,27,60804,"SUCCESS",15,4445,NA
100,28,60805,"SUCCESS",15,4212,NA
100,29,60806,"SUCCESS",15,4403,NA
100,3,60780,"SUCCESS",15,4300,NA
100,30,60807,"SUCCESS",15,4823,NA
100,31,60808,"SUCCESS",15,4287,NA
100,32,60809,"SUCCESS",15,4421,NA
100,33,60810,"SUCCESS",15,4367,NA
100,34,60811,"SUCCESS",15,4899,NA
100,35,60812,"SUCCESS",15,4204,NA
100,36,60813,"SUCCESS",15,4269,NA
100,37,60814,"SUCCESS",15,4191,NA
100,38,60815,"SUCCESS",16,4315,NA
100,39,60816,"SUCCESS",15,4338,NA
100,4,60781,"SUCCESS",15,4251,NA
100,40,60817,"SUCCESS",15,4322,NA
100,41,60818,"SUCCESS",15,4354,NA
100,42,60819,"SUCCESS",15,4265,NA
100,43,60820,"SUCCESS",15,4322,NA
100,44,60821,"SUCCESS",15,4163,NA
100,45,60822,"SUCCESS",15,4385,NA
100,46,60823,"SUCCESS",15,4311,NA
100,47,60824,"SUCCESS",15,4358,NA
100,48,60825,"SUCCESS",15,4341,NA
100,49,60826,"SUCCESS",15,4321,NA
100,5,60782,"SUCCESS",15,4325,NA
100,50,60827,"SUCCESS",15,4361,NA
100,51,60828,"SUCCESS",15,4300,NA
100,52,60829,"SUCCESS",15,4791,NA
100,53,60830,"SUCCESS",15,4406,NA
100,54,60831,"SUCCESS",15,4252,NA
100,55,60832,"SUCCESS",15,4836,NA
100,56,60833,"SUCCESS",15,4374,NA
100,57,60834,"SUCCESS",15,4279,NA
100,58,60835,"SUCCESS",15,4269,NA
100,59,60836,"SUCCESS",15,4387,NA
100,6,60783,"SUCCESS",15,4364,NA
100,60,60837,"SUCCESS",15,4351,NA
100,61,60838,"SUCCESS",15,4245,NA
100,62,60839,"SUCCESS",15,4309,NA
100,63,60840,"SUCCESS",15,4415,NA
100,64,60841,"SUCCESS",15,4263,NA
100,65,60842,"SUCCESS",15,4369,NA
100,66,60843,"SUCCESS",15,4398,NA
100,67,60844,"SUCCESS",15,4384,NA
100,68,60845,"SUCCESS",15,4350,NA
100,69,60846,"SUCCESS",15,4269,NA
100,7,60784,"SUCCESS",15,4426,NA
100,70,60847,"SUCCESS",15,4303,NA
100,71,60848,"SUCCESS",15,4256,NA
100,72,60849,"SUCCESS",15,4302,NA
100,73,60850,"SUCCESS",15,4316,NA
100,74,60851,"SUCCESS",15,4192,NA
100,75,60852,"SUCCESS",15,4342,NA
100,76,60853,"SUCCESS",15,4388,NA
100,77,60854,"SUCCESS",15,4786,NA
100,78,60855,"SUCCESS",15,4390,NA
100,79,60856,"SUCCESS",15,4216,NA
100,8,60785,"SUCCESS",15,4335,NA
100,80,60857,"SUCCESS",15,4257,NA
100,81,60858,"SUCCESS",15,4273,NA
100,82,60859,"SUCCESS",15,4314,NA
100,83,60860,"SUCCESS",15,4295,NA
100,84,60861,"SUCCESS",15,4355,NA
100,85,60862,"SUCCESS",15,4372,NA
100,86,60863,"SUCCESS",15,4272,NA
100,87,60864,"SUCCESS",15,4275,NA
100,88,60865,"SUCCESS",15,4315,NA
100,89,60866,"SUCCESS",15,4311,NA
100,9,60786,"SUCCESS",15,4364,NA
100,90,60867,"SUCCESS",15,4426,NA
100,91,60868,"SUCCESS",15,4342,NA
100,92,60869,"SUCCESS",15,4341,NA
100,93,60870,"SUCCESS",15,4299,NA
100,94,60871,"SUCCESS",15,4295,NA
100,95,60872,"SUCCESS",15,4367,NA
100,96,60873,"SUCCESS",15,4372,NA
100,97,60874,"SUCCESS",15,4351,NA
100,98,60875,"SUCCESS",15,4409,NA
100,99,60876,"SUCCESS",15,4414,NA
150,1,65778,"SUCCESS",15,4177,NA
150,10,65787,"SUCCESS",15,4176,NA
150,100,65877,"SUCCESS",15,4703,NA
150,11,65788,"SUCCESS",15,4166,NA
150,12,65789,"SUCCESS",15,4170,NA
150,13,65790,"SUCCESS",15,4370,NA
150,14,65791,"SUCCESS",15,4140,NA
150,15,65792,"SUCCESS",15,4084,NA
150,16,65793,"SUCCESS",15,4144,NA
150,17,65794,"SUCCESS",16,4142,NA
150,18,65795,"SUCCESS",15,4288,NA
150,19,65796,"SUCCESS",15,4139,NA
150,2,65779,"SUCCESS",15,4243,NA
150,20,65797,"SUCCESS",15,4696,NA
150,21,65798,"SUCCESS",16,4642,NA
150,22,65799,"SUCCESS",15,4684,NA
150,23,65800,"SUCCESS",15,4662,NA
150,24,65801,"SUCCESS",15,4359,NA
150,25,65802,"SUCCESS",15,4237,NA
150,26,65803,"SUCCESS",15,4326,NA
150,27,65804,"SUCCESS",15,4790,NA
150,28,65805,"SUCCESS",15,4593,NA
150,29,65806,"SUCCESS",15,4154,NA
150,3,65780,"SUCCESS",15,4725,NA
150,30,65807,"SUCCESS",15,4120,NA
150,31,65808,"SUCCESS",15,4210,NA
150,32,65809,"SUCCESS",16,4146,NA
150,33,65810,"SUCCESS",15,4249,NA
150,34,65811,"SUCCESS",15,4227,NA
150,35,65812,"SUCCESS",15,4099,NA
150,36,65813,"SUCCESS",15,4775,NA
150,37,65814,"SUCCESS",15,4012,NA
150,38,65815,"SUCCESS",15,4715,NA
150,39,65816,"SUCCESS",15,4157,NA
150,4,65781,"SUCCESS",15,4266,NA
150,40,65817,"SUCCESS",15,4168,NA
150,41,65818,"SUCCESS",15,4319,NA
150,42,65819,"SUCCESS",15,4306,NA
150,43,65820,"SUCCESS",15,4710,NA
150,44,65821,"SUCCESS",16,4603,NA
150,45,65822,"SUCCESS",15,4621,NA
150,46,65823,"SUCCESS",15,4109,NA
150,47,65824,"SUCCESS",15,4148,NA
150,48,65825,"SUCCESS",15,4230,NA
150,49,65826,"SUCCESS",15,4174,NA
150,5,65782,"SUCCESS",15,4758,NA
