HOG	OG	Gene Tree Parent Clade	BMAL	BOKI	CBRI	CELE	CINO	CNIO	CREM	HCON	OTIP	OVOL	PEXS	PRPA	SRAT
N11.HOG0000000	OG0000000	n19						CNIO.Cnig_chr_V.g17975							
N11.HOG0000001	OG0000000	n26			CBRI.L5515_006892			CNIO.Cnig_chr_V.g18009							
N11.HOG0000002	OG0000000	n30			CBRI.L5515_006890			CNIO.Cnig_chr_V.g17610, CNIO.Cnig_chr_V.g18007							
N11.HOG0000003	OG0000000	n45			CBRI.L5515_006654			CNIO.Cnig_chr_V.g17694							
N11.HOG0000004	OG0000000	n47			CBRI.L5515_005820			CNIO.Cnig_chr_V.g16515							
N11.HOG0000005	OG0000000	n55			CBRI.L5515_002534			CNIO.nigoni.pc_2016.07.11_007.g26977							
N11.HOG0000006	OG0000000	n59			CBRI.L5515_005821			CNIO.Cnig_chr_V.g16516							
N11.HOG0000007	OG0000000	n66			CBRI.L5515_006778			CNIO.Cnig_chr_V.g17861							
N11.HOG0000008	OG0000000	n67			CBRI.L5515_006836			CNIO.Cnig_chr_II.g7938, CNIO.Cnig_chr_II.g8079, CNIO.Cnig_chr_V.g17917							
N11.HOG0000009	OG0000000	n74			CBRI.L5515_005827			CNIO.Cnig_chr_V.g16520							
N11.HOG0000010	OG0000000	n77			CBRI.L5515_005826										
N11.HOG0000011	OG0000000	n81			CBRI.L5515_005880			CNIO.Cnig_chr_V.g16603							
N11.HOG0000012	OG0000000	n90			CBRI.L5515_005814			CNIO.Cnig_chr_V.g16506, CNIO.Cnig_chr_V.g16507, CNIO.Cnig_chr_V.g16508, CNIO.Cnig_chr_V.g16509							
N11.HOG0000013	OG0000000	n103			CBRI.L5515_005815			CNIO.Cnig_chr_V.g16510							
N11.HOG0000014	OG0000000	n104			CBRI.L5515_005816			CNIO.Cnig_chr_V.g16511							
N11.HOG0000015	OG0000000	n105			CBRI.L5515_005817			CNIO.Cnig_chr_V.g16512							
N11.HOG0000016	OG0000000	n109			CBRI.L5515_005824			CNIO.Cnig_chr_V.g16518							
N11.HOG0000017	OG0000000	n112			CBRI.L5515_005825			CNIO.Cnig_chr_V.g16519							
N11.HOG0000018	OG0000000	n122			CBRI.L5515_005822, CBRI.L5515_005823			CNIO.Cnig_chr_V.g16517							
N11.HOG0000019	OG0000000	n129			CBRI.L5515_018450			CNIO.Cnig_chr_X.g25025							
N11.HOG0000020	OG0000000	n130			CBRI.L5515_018449			CNIO.Cnig_chr_X.g25024							
N11.HOG0000021	OG0000000	n131			CBRI.L5515_018448			CNIO.Cnig_chr_X.g25023							
N11.HOG0000022	OG0000000	n136			CBRI.L5515_008642			CNIO.Cnig_chr_V.g20152, CNIO.Cnig_chr_V.g20153							
N11.HOG0000023	OG0000000	n172			CBRI.L5515_009949			CNIO.Cni-str-89							
N11.HOG0000024	OG0000000	n178						CNIO.Cni-str-90							
N11.HOG0000025	OG0000000	n185						CNIO.Cnig_chr_V.g22059							
N11.HOG0000026	OG0000000	n189						CNIO.Cnig_chr_V.g22038							
N11.HOG0000027	OG0000000	n197			CBRI.L5515_008554			CNIO.Cnig_chr_V.g20048							
N11.HOG0000028	OG0000000	n203			CBRI.L5515_008553			CNIO.Cni-str-84							
N11.HOG0000029	OG0000000	n208			CBRI.L5515_010201			CNIO.Cnig_chr_IV.g12259							
N11.HOG0000030	OG0000000	n211						CNIO.Cnig_chr_IV.g14735							
N11.HOG0000031	OG0000000	n214			CBRI.L5515_011966			CNIO.Cnig_chr_IV.g14737							
